Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
277,Carlos Narváez,27,BOS,AL,-0.1,46,149,132,15,27,6,0,2,4,1,0,11,47,0.205,0.279,0.295,0.574,64,0.276,70,39,5,3,2,1,0,2/DH,,narvaca01
278,Gary Sánchez,33,MIL,NL,0.3,46,149,121,22,26,4,1,7,21,0,0,25,30,0.215,0.356,0.438,0.794,119,0.349,117,53,5,2,0,1,0,2DH/3,,sanchga02
279,Kyle Higashioka,36,TEX,AL,0.5,44,148,133,16,31,3,0,5,14,0,0,14,40,0.233,0.311,0.368,0.679,99,0.311,104,49,5,1,0,0,0,2/DH1,,higasky01
280,Ryan Jeffers,29,MIN,AL,1.8,37,148,122,26,36,7,1,7,26,1,0,23,23,0.295,0.408,0.541,0.949,161,0.425,169,66,2,1,0,1,0,2/DH,,jeffery01
281,Tyler O'Neill,31,BAL,AL,-0.6,48,148,131,15,24,5,0,2,8,1,0,15,41,0.183,0.277,0.267,0.544,55,0.262,58,35,2,2,0,0,0,9H/D,,oneilty01
282,Max Muncy (ATH),23,ATH,AL,-0.8,39,147,131,20,30,6,2,5,20,3,2,9,47,0.229,0.293,0.42,0.712,92,0.311,88,55,4,4,0,3,0,5/DH6,,muncyma02
283,Freddy Fermin,31,SDP,NL,0.2,52,146,124,14,18,5,0,3,11,0,1,15,30,0.145,0.245,0.258,0.503,42,0.241,44,32,2,2,3,2,0,2,,fermifr01
284,Luis Torrens,30,NYM,NL,0.7,49,146,134,15,29,9,0,1,15,0,0,6,32,0.216,0.271,0.306,0.577,62,0.258,54,41,1,4,2,0,0,2/H3D,,torrelu01
285,Luisangel Acuña,24,CHW,AL,-0.5,57,145,133,14,28,2,0,1,10,14,2,7,26,0.211,0.252,0.248,0.5,41,0.239,30,33,4,1,2,2,0,86H/14D,,acunajo01
286,Jonny DeLuca,27,TBR,AL,0.7,47,145,137,19,37,13,0,4,23,7,2,6,30,0.27,0.301,0.453,0.753,105,0.332,102,62,6,0,2,0,0,98H/D7,,delucjo01
287,MJ Melendez,27,NYM,NL,-0.3,56,144,120,14,23,5,1,4,11,0,1,17,50,0.192,0.315,0.35,0.665,87,0.297,85,42,0,5,1,1,0,D7H/9,,melenmj01
288,Alejandro Osuna,23,TEX,AL,0.4,47,144,123,14,32,4,0,0,12,4,2,13,21,0.26,0.364,0.293,0.656,96,0.314,106,36,2,7,1,0,0,78/9H,,osunaal02
289,Henry Bolte,22,ATH,AL,1.5,39,143,122,12,39,6,0,2,10,9,3,13,39,0.32,0.406,0.418,0.824,126,0.371,125,51,2,6,0,2,0,8/H,,boltehe01
290,Pedro Pagés,27,STL,NL,-0.2,44,143,129,12,28,6,0,4,11,2,0,6,35,0.217,0.259,0.357,0.616,73,0.272,65,46,5,2,4,2,0,2/3,,pagespe02
291,Myles Straw,31,TOR,AL,0,70,143,126,24,31,6,0,2,12,2,1,13,21,0.246,0.312,0.341,0.653,78,0.291,72,43,1,0,2,2,0,*H798/D1,,strawmy01
292,Danny Jansen,31,TEX,AL,0.5,41,142,123,11,21,6,1,3,12,1,1,13,40,0.171,0.277,0.309,0.586,72,0.266,74,38,5,5,1,0,0,2/HD,,janseda01
293,Carlos Correa,31,HOU,AL,1.3,32,141,122,22,34,8,0,3,16,1,0,18,26,0.279,0.369,0.418,0.787,120,0.355,122,51,5,0,0,1,1,65,,correca01
294,Matt Shaw,24,CHC,NL,0.6,53,140,126,18,31,6,2,4,20,4,1,9,26,0.246,0.309,0.421,0.73,107,0.325,106,53,2,3,1,1,0,9HD/45378,,shawma01
295,Edmundo Sosa,30,PHI,NL,0.1,46,139,129,17,30,5,1,5,24,2,0,3,31,0.233,0.268,0.403,0.671,80,0.311,84,52,2,4,0,2,0,4756/HD,,sosaed01
296,Ryan Vilade,27,TBR,AL,0.7,47,139,123,12,34,6,1,5,27,3,0,12,28,0.276,0.333,0.463,0.797,118,0.361,122,57,2,0,1,3,0,9H37/4D,,viladry01
297,Josh Lowe,28,LAA,AL,-1.1,46,138,129,8,24,2,0,5,14,1,0,6,41,0.186,0.226,0.318,0.544,52,0.241,44,41,0,1,1,1,0,7/H89,,lowejo01
298,Yohendrick Piñango,24,TOR,AL,-0.1,43,136,127,10,36,7,0,4,18,0,0,9,30,0.283,0.331,0.433,0.764,106,0.335,103,55,4,0,0,0,0,79/HD,,pinanyo01
299,Matt Wallner,28,MIN,AL,-1.3,34,135,120,14,20,3,0,4,10,0,1,10,53,0.167,0.259,0.292,0.551,53,0.25,50,35,2,5,0,0,0,9/H,,wallnma01
300,Darell Hernaiz,24,ATH,AL,-0.2,47,134,118,12,28,3,0,1,7,3,0,13,23,0.237,0.318,0.288,0.606,67,0.283,62,34,1,1,2,0,0,654/H9,,hernada04
301,Jake Meyers,30,HOU,AL,0,46,134,123,13,25,5,0,3,11,1,2,9,28,0.203,0.261,0.317,0.578,61,0.266,64,39,3,1,0,1,0,8/H,,meyerja02
302,Miguel Amaya,27,CHC,NL,0.9,45,133,108,18,24,5,0,3,10,0,0,16,27,0.222,0.359,0.352,0.711,105,0.348,126,38,5,7,1,0,0,2D/H3,,amayami01
303,Andruw Monasterio,29,BOS,AL,-0.3,47,133,125,14,28,10,0,3,12,1,3,8,33,0.224,0.271,0.376,0.647,82,0.281,82,47,2,0,0,0,0,4H6D/35,,monasan01
304,Lourdes Gurriel Jr.,32,ARI,NL,-0.3,32,132,121,8,27,6,0,1,16,1,0,8,24,0.223,0.273,0.298,0.57,59,0.257,51,36,0,1,0,2,0,7/D,,gurrilo01
305,Isiah Kiner-Falefa,31,BOS,AL,1.3,47,132,119,19,33,4,0,2,13,7,2,12,18,0.277,0.344,0.361,0.705,101,0.327,104,43,3,0,1,0,0,46/5HD3,,kineris01
306,Amed Rosario,30,NYY,AL,0,43,132,121,16,30,4,1,7,22,1,0,8,29,0.248,0.288,0.471,0.759,108,0.332,105,57,1,0,0,3,0,5/H497D,,rosaram01
307,Hyeseong Kim,27,LAD,NL,0.5,43,131,116,16,30,3,1,1,11,5,1,12,31,0.259,0.323,0.328,0.651,84,0.297,79,38,2,0,0,2,0,64/7H,,kimhy02
308,Roman Anthony,22,BOS,AL,0.8,30,130,109,12,25,5,1,1,5,2,0,20,33,0.229,0.354,0.321,0.675,94,0.314,96,35,0,1,0,0,1,7D/9H,,anthoro01
309,Drew Millas,28,WSN,NL,-0.5,44,130,113,16,20,4,0,2,9,0,0,10,30,0.177,0.262,0.265,0.527,49,0.245,45,30,0,3,2,0,0,2/H,,milladr01
310,Yoán Moncada,31,LAA,AL,-0.3,41,130,111,9,21,1,1,3,10,1,0,17,45,0.189,0.308,0.297,0.605,73,0.283,74,33,2,2,0,0,0,5/HD,,moncayo01
311,Miguel Rojas,37,LAD,NL,0.6,52,130,114,12,31,6,0,2,13,0,1,9,14,0.272,0.328,0.377,0.705,98,0.314,98,43,5,2,2,3,0,H46/513D,,rojasmi02
312,Andrew Vaughn,28,MIL,NL,1.3,40,130,111,16,39,12,1,2,24,0,0,16,14,0.351,0.438,0.532,0.97,167,0.427,173,59,2,2,0,1,1,3H/D5,,vaughan01
313,Yainer Diaz,27,HOU,AL,-0.2,32,129,122,9,30,6,0,3,16,0,1,5,20,0.246,0.271,0.369,0.64,77,0.282,74,45,4,0,0,2,0,2/DH,,diazya02
314,Dane Myers,30,CIN,NL,0.2,60,129,110,17,28,5,0,3,13,5,0,16,32,0.255,0.357,0.382,0.738,103,0.346,107,42,4,2,0,1,0,8H/D,,myersda01
315,Agustín Ramírez,24,MIA,NL,-0.2,31,129,113,14,26,5,1,2,14,3,1,13,28,0.23,0.318,0.345,0.663,89,0.296,84,39,5,2,0,1,1,2D/H,,ramirag01
316,Dylan Crews,24,WSN,NL,0.5,32,128,122,19,28,4,0,5,17,3,0,2,26,0.23,0.266,0.385,0.651,81,0.287,73,47,2,4,0,0,0,98/7HD,,crewsdy01
317,David Fry,30,CLE,AL,0,51,128,109,14,23,4,0,4,9,0,0,19,39,0.211,0.328,0.358,0.686,94,0.311,94,39,3,0,0,0,1,H9D7/253,,fryda01
318,Ke'Bryan Hayes,29,CIN,NL,-0.2,44,128,120,10,17,2,1,2,5,1,0,8,20,0.142,0.195,0.225,0.42,15,0.207,13,27,5,0,0,0,0,5/H,,hayeske01
319,Joe Mack,23,MIA,NL,0.8,38,128,116,18,30,5,0,4,18,0,0,9,33,0.259,0.317,0.405,0.723,104,0.317,101,47,2,1,2,0,0,2/H,,mackjo02
320,Alex Call,31,LAD,NL,0.8,49,124,103,19,27,5,0,1,16,1,1,16,18,0.262,0.371,0.34,0.711,102,0.338,114,35,2,3,0,2,0,7H/98D,,callal02
321,Michael Conforto,33,CHC,NL,0.2,50,124,107,14,24,10,0,4,15,1,0,16,38,0.224,0.323,0.43,0.752,114,0.332,112,46,3,0,0,1,0,DH97,,confomi01
322,Jonah Heim,31,2TM,2LG,0.6,37,124,111,15,27,8,0,6,18,0,0,11,21,0.243,0.306,0.477,0.784,113,0.352,118,53,3,0,0,2,0,2/HD35,,heimjo01
323,Jonah Heim,31,ATL,NL,-0.2,12,45,39,4,9,4,0,1,8,0,0,5,5,0.231,0.311,0.41,0.721,102,0.315,98,16,1,0,0,1,0,2,,heimjo01
324,Jonah Heim,31,ATH,AL,0.8,25,79,72,11,18,4,0,5,10,0,0,6,16,0.25,0.304,0.514,0.818,118,0.373,130,37,2,0,0,1,0,2/HD35,,heimjo01
325,Jose Fermin (STL),27,STL,NL,0,45,123,112,13,31,5,0,3,15,3,0,9,18,0.277,0.328,0.402,0.73,106,0.334,109,45,4,0,0,1,0,7H8/54693,,fermijo01
326,Nick Castellanos,34,SDP,NL,-1,39,122,115,9,22,5,0,4,20,2,0,5,34,0.191,0.221,0.339,0.56,54,0.258,52,39,1,0,0,2,1,9/DH73,,casteni01
327,Brenton Doyle,28,COL,NL,-0.4,43,122,111,21,23,4,0,1,4,9,2,11,40,0.207,0.279,0.27,0.549,47,0.269,45,30,0,0,0,0,0,8/H,,doylebr02
328,Ryan Waldschmidt,23,ARI,NL,0.3,33,122,112,11,29,9,1,0,8,5,1,8,40,0.259,0.314,0.357,0.671,87,0.313,88,40,0,1,0,0,0,87/DH,,waldsry01
329,Hao-Yu Lee,23,DET,AL,-0.2,43,121,115,8,29,5,1,2,10,1,1,5,34,0.252,0.283,0.365,0.649,78,0.283,72,42,1,0,1,0,0,45/HD,,leeha02
330,Anthony Volpe,25,NYY,AL,0.9,32,121,104,16,27,5,1,1,13,7,3,17,27,0.26,0.364,0.356,0.719,102,0.337,110,37,0,0,0,0,0,6/H,,volpean01
331,Austin Hedges,33,CLE,AL,0.6,38,120,105,12,28,7,0,1,9,1,1,10,20,0.267,0.333,0.362,0.695,96,0.326,106,38,3,1,3,1,0,2/1H,,hedgeau01
332,Leo Rivas,28,SEA,AL,-0.1,38,120,99,9,13,2,1,0,7,2,0,15,36,0.131,0.263,0.172,0.434,28,0.224,33,17,1,3,2,1,0,56/DH,,rivasle01
333,Jorge Barrosa,25,ARI,NL,0,56,119,105,15,19,10,1,2,9,0,0,9,35,0.181,0.252,0.352,0.605,66,0.272,62,37,1,1,4,0,0,*897/H,,barrojo01
334,Dylan Beavers,24,BAL,AL,-0.2,33,119,103,16,25,7,0,2,12,3,1,14,28,0.243,0.331,0.369,0.699,97,0.313,94,38,1,0,1,1,0,9/D87H,,beavedy01
335,Randal Grichuk,34,2TM,AL,0.4,52,118,111,21,30,8,0,9,22,0,0,5,28,0.27,0.305,0.586,0.891,142,0.377,139,65,2,1,0,1,0,HD7/9,,grichra01
336,Randal Grichuk,34,NYY,AL,-0.3,16,33,31,8,6,4,0,0,2,0,0,1,10,0.194,0.212,0.323,0.535,47,0.229,34,10,0,0,0,1,0,7/DH9,,grichra01
337,Randal Grichuk,34,CHW,AL,0.8,36,85,80,13,24,4,0,9,20,0,0,4,18,0.3,0.341,0.688,1.029,180,0.434,179,55,2,1,0,0,0,HD/97,,grichra01
338,Davis Schneider,27,TOR,AL,-0.4,48,117,97,16,15,5,0,3,12,1,0,18,38,0.155,0.284,0.299,0.583,60,0.272,57,29,1,0,1,1,0,7H4/D,,schneda03
339,Josh Smith,28,TEX,AL,-0.3,34,117,101,6,22,3,0,0,6,2,1,14,22,0.218,0.316,0.248,0.564,69,0.27,75,25,1,1,0,1,1,4/HD5,,smithjo11
340,Lenyn Sosa,26,2TM,AL,-0.9,40,117,113,11,22,7,0,1,9,0,0,1,25,0.195,0.207,0.283,0.49,33,0.223,26,32,2,1,1,1,0,43/DH,,sosale01
341,Lenyn Sosa,26,CHW,AL,-0.3,12,33,33,2,7,3,0,0,3,0,0,0,7,0.212,0.212,0.303,0.515,43,0.225,32,10,0,0,0,0,0,/DH34,,sosale01
342,Lenyn Sosa,26,TOR,AL,-0.6,28,84,80,9,15,4,0,1,6,0,0,1,18,0.188,0.205,0.275,0.48,29,0.222,23,22,2,1,1,1,0,43/HD,,sosale01
343,Mitch Garver,35,SEA,AL,0.4,38,116,97,15,18,2,0,3,11,0,0,18,36,0.186,0.319,0.299,0.618,79,0.312,99,29,0,1,0,0,0,2/DH,,garvemi01
344,Rob Refsnyder,35,SEA,AL,-1,48,116,102,8,14,0,0,3,9,0,0,7,31,0.137,0.209,0.225,0.434,25,0.2,20,23,2,3,1,3,0,DH9/7,,refsnro01
345,Michael Gasper,30,BOS,AL,0.2,33,115,103,11,26,5,1,0,6,0,1,9,21,0.252,0.316,0.32,0.636,82,0.292,86,33,2,1,1,1,0,2D/H3,,gaspemi01
346,Daniel Susac,25,SFG,NL,0.3,37,115,103,5,27,5,1,0,14,1,1,6,27,0.262,0.31,0.33,0.64,84,0.283,80,34,3,2,2,2,0,2/H5,,susacda01
347,Will Benson,28,CIN,NL,-0.3,51,114,96,11,18,3,1,3,6,1,1,16,38,0.188,0.31,0.333,0.643,77,0.288,73,32,0,1,0,0,1,9H/78D,,bensowi01
348,Jake Cronenworth,32,SDP,NL,-0.3,32,114,97,13,14,2,0,1,4,1,0,14,23,0.144,0.272,0.196,0.468,35,0.24,40,19,1,3,0,0,0,4/56H,,croneja01
349,Derek Hill,30,2TM,2LG,0.4,61,114,104,15,26,2,0,6,13,7,4,7,39,0.25,0.304,0.442,0.746,105,0.322,101,46,1,1,2,0,0,*9H87/D,,hillde01
350,Derek Hill,30,CHW,AL,-0.1,50,90,80,11,17,1,0,4,8,7,4,7,29,0.213,0.284,0.375,0.659,83,0.288,79,30,1,1,2,0,0,9H78/D,,hillde01
351,Derek Hill,30,PHI,NL,0.5,11,24,24,4,9,1,0,2,5,0,0,0,10,0.375,0.375,0.667,1.042,176,0.447,184,16,0,0,0,0,0,/98H7,,hillde01
352,Jorge Mateo,31,ATL,NL,0.7,51,113,107,25,28,5,0,4,11,7,1,6,33,0.262,0.301,0.421,0.721,102,0.323,96,45,2,0,0,0,0,6H/D14,,mateojo01
353,Brett Sullivan,32,COL,NL,-0.4,40,113,104,8,22,6,0,4,13,0,0,5,22,0.212,0.25,0.385,0.635,66,0.274,55,40,3,1,1,2,0,2/H1D3,,sullibr01
354,Colt Emerson,20,SEA,AL,0.6,32,112,102,13,21,5,1,6,16,1,0,8,36,0.206,0.277,0.451,0.728,105,0.315,100,46,1,2,0,0,0,65/DH,,emersco01
355,Harrison Bader,32,SFG,NL,0.2,30,111,106,10,18,5,0,5,14,0,0,4,34,0.17,0.198,0.358,0.557,55,0.245,51,38,3,0,0,1,0,8/H,,baderha01
356,Francisco Lindor,32,NYM,NL,0.2,25,110,98,14,21,2,2,2,5,2,1,11,19,0.214,0.3,0.337,0.637,79,0.293,80,33,2,1,0,0,0,6,,lindofr01
357,Eli White,32,ATL,NL,0.7,49,110,102,12,22,4,1,3,14,3,0,6,23,0.216,0.264,0.363,0.626,75,0.294,78,37,1,1,0,1,0,97H8/D,,whiteel04
358,Hunter Feduccia,29,TBR,AL,0,43,108,93,11,21,3,0,1,8,0,0,11,33,0.226,0.311,0.29,0.602,68,0.276,65,27,1,1,2,1,0,2/HD,,feduchu01
359,Drew Romo,24,CHW,AL,-0.1,30,106,93,9,13,4,0,5,11,1,0,10,27,0.14,0.229,0.344,0.573,58,0.264,58,32,4,1,1,1,0,2/3,,romodr01
360,Jared Young,30,NYM,NL,0.8,36,106,95,13,23,4,0,6,13,0,0,9,23,0.242,0.311,0.474,0.785,116,0.346,118,45,2,1,0,1,0,3/DH79,,youngja02
361,Joey Loperfido,27,HOU,AL,0.2,34,105,89,13,21,7,1,1,11,1,1,13,24,0.236,0.337,0.371,0.707,98,0.311,94,33,2,1,0,1,1,7/H89,,loperjo01
362,Tyrone Taylor,32,NYM,NL,-0.5,43,104,97,8,18,4,0,3,14,0,1,3,19,0.186,0.21,0.32,0.53,46,0.225,33,31,0,0,4,0,0,H897/D,,tayloty01
363,Connor Wong,30,BOS,AL,0.9,33,103,89,12,24,8,0,1,12,2,1,9,22,0.27,0.356,0.393,0.75,113,0.337,115,35,1,3,2,0,0,2/HD,,wongco01
364,Brendan Donovan,29,SEA,AL,0.6,25,101,84,9,23,4,1,3,8,1,1,11,15,0.274,0.386,0.452,0.839,140,0.37,142,38,0,5,0,1,0,5/DH,,donovbr01
365,Wade Meckler,26,LAA,AL,0.7,30,101,90,13,26,6,0,2,15,2,0,11,22,0.289,0.366,0.422,0.789,123,0.362,128,38,0,0,0,0,0,7/H9D,,mecklwa01
366,Jahmai Jones,28,DET,AL,-1.1,53,100,91,7,13,2,0,2,7,0,2,9,32,0.143,0.22,0.231,0.451,25,0.209,25,21,3,0,0,0,0,DH/79,,jonesja08
367,Ryan Kreidler,28,MIN,AL,0.6,39,100,89,16,25,3,2,4,20,0,3,10,17,0.281,0.36,0.494,0.854,134,0.356,132,44,3,1,0,0,0,68H/57,,kreidry01
368,Alek Thomas,26,ARI,NL,-0.1,28,100,94,12,17,9,0,2,10,4,0,3,23,0.181,0.222,0.34,0.563,54,0.254,43,32,3,2,1,0,0,8,,thomaal01
369,Jackson Holliday,22,BAL,AL,-0.2,30,99,86,14,17,2,1,4,12,3,0,11,30,0.198,0.283,0.384,0.667,86,0.3,81,33,1,0,0,2,0,4/H56D,,hollija01
370,Starling Marte,37,KCR,AL,0.1,36,99,88,9,23,4,0,1,7,0,1,7,26,0.261,0.323,0.341,0.664,89,0.292,85,30,2,2,0,2,0,9DH/7,,martest01
371,Luis Robert Jr.,28,NYM,NL,0.1,24,98,85,10,19,3,0,2,8,2,2,13,17,0.224,0.327,0.329,0.656,85,0.304,92,28,2,0,0,0,0,8/H,,roberlu01
372,Brandon Lockridge,29,MIL,NL,0.4,28,96,85,9,25,4,0,0,12,5,0,10,25,0.294,0.368,0.341,0.71,99,0.341,103,29,0,0,1,0,0,7/8H3,,lockrbr01
373,Blake Perkins,29,MIL,NL,0.3,48,96,85,12,13,5,0,1,11,3,1,9,22,0.153,0.242,0.247,0.489,36,0.256,49,21,1,1,1,0,0,8H9/7D,,perkibl01
374,Giancarlo Stanton,36,NYY,AL,0.2,24,96,90,8,23,6,0,3,14,1,0,6,29,0.256,0.302,0.422,0.724,100,0.329,103,38,2,0,0,0,0,D/H,,stantmi03
375,Endy Rodríguez,26,PIT,NL,0.6,28,94,76,12,20,5,0,3,11,2,0,17,23,0.263,0.398,0.447,0.845,133,0.383,137,34,3,0,0,0,0,2/H3,,rodrien01
376,Tyler Heineman,35,2TM,AL,-0.2,34,94,84,7,14,2,0,1,6,0,0,3,20,0.167,0.222,0.226,0.448,23,0.207,10,19,2,3,4,0,0,2/1HD,,heinety01
377,Tyler Heineman,35,TOR,AL,-0.3,31,87,78,6,12,1,0,1,6,0,0,2,19,0.154,0.205,0.205,0.41,12,0.19,-3,16,2,3,4,0,0,2/1HD,,heinety01
378,Tyler Heineman,35,LAA,AL,0.1,3,7,6,1,2,1,0,0,0,0,0,1,1,0.333,0.429,0.5,0.929,162,0.41,164,3,0,0,0,0,0,/2,,heinety01
379,Adam Frazier,34,LAA,AL,0.1,40,93,81,15,17,5,1,1,6,0,0,9,28,0.21,0.297,0.333,0.63,78,0.285,76,27,1,1,2,0,0,4H/71D,,fraziad01
380,Tommy Troy,24,ARI,NL,0.5,27,93,83,17,20,3,1,3,7,0,0,10,19,0.241,0.323,0.41,0.732,102,0.341,112,34,0,0,0,0,0,7/8DH,,troyto01
381,J.C. Escarra,31,NYY,AL,0,32,92,85,8,16,5,1,0,7,0,0,6,18,0.188,0.239,0.271,0.51,42,0.249,48,23,1,0,0,1,0,2/H,,escarjc01
382,Leo Jiménez,25,MIA,NL,-0.9,31,92,79,7,14,2,0,0,1,1,0,7,21,0.177,0.283,0.203,0.485,41,0.238,43,16,4,5,0,1,0,5/4DH6,,jimenle01
383,Graham Pauley,25,MIA,NL,-0.6,33,91,85,8,14,6,0,1,9,1,1,5,22,0.165,0.211,0.271,0.482,36,0.211,26,23,3,0,1,0,0,5/3H,,paulegr01
384,James Outman,29,2TM,AL,-0.2,59,91,83,11,13,4,1,1,5,5,2,7,41,0.157,0.231,0.265,0.496,37,0.227,30,22,0,1,0,0,0,87H/9D,,outmaja01
385,James Outman,29,MIN,AL,-0.3,49,70,64,9,10,4,1,0,3,4,2,5,29,0.156,0.229,0.25,0.479,33,0.22,26,16,0,1,0,0,0,87H/9D,,outmaja01
386,James Outman,29,DET,AL,0.1,10,21,19,2,3,0,0,1,2,1,0,2,12,0.158,0.238,0.316,0.554,52,0.253,41,6,0,0,0,0,0,/8H,,outmaja01
387,Jake Fraley,31,TBR,AL,0,28,90,82,6,19,7,0,2,5,3,0,8,25,0.232,0.3,0.39,0.69,90,0.314,86,32,1,0,0,0,0,9/HD,,fraleja01
388,Bo Naylor,26,CLE,AL,-0.5,28,90,84,4,12,2,0,2,7,0,0,6,21,0.143,0.2,0.238,0.438,23,0.2,16,20,2,0,0,0,0,2/H,,naylobo01
389,Taylor Trammell,28,HOU,AL,0.4,32,90,82,11,23,5,1,2,9,1,0,6,32,0.28,0.337,0.439,0.776,115,0.339,110,36,0,1,1,0,0,87/HD9,,trammta01
390,Jordan Beck,25,COL,NL,-0.4,30,88,82,7,15,5,1,1,10,2,1,5,22,0.183,0.227,0.305,0.532,40,0.24,31,25,3,0,0,1,0,79/H,,beckjo01
391,Esteury Ruiz,27,MIA,NL,0.7,46,88,74,19,19,7,1,4,9,14,3,8,25,0.257,0.356,0.541,0.897,151,0.404,149,40,0,4,0,1,0,97H/8D,,ruizes01
392,Justin Foscue,27,TEX,AL,0.1,35,87,78,10,20,4,0,4,10,0,0,6,21,0.256,0.322,0.462,0.783,127,0.339,124,36,2,2,0,1,0,4H/D3,,foscuju01
393,Noelvi Marté,24,CIN,NL,-0.6,27,87,80,9,16,4,0,3,4,4,1,7,23,0.2,0.264,0.363,0.627,70,0.29,70,29,2,0,0,0,0,9/H8,,marteno01
394,Nick Yorke,24,PIT,NL,-0.5,27,86,76,6,15,3,0,1,6,0,0,7,17,0.197,0.279,0.276,0.555,54,0.257,50,21,3,2,0,1,0,5/H937D,,yorkeni01
395,Andrew McCutchen,39,TEX,AL,-0.4,37,83,73,8,14,2,0,1,5,0,0,9,22,0.192,0.277,0.26,0.537,59,0.258,67,19,0,0,0,1,0,DH/79,,mccutan01
396,Donovan Walton,32,LAA,AL,0.7,26,83,79,13,26,7,0,3,11,0,0,3,14,0.329,0.354,0.532,0.885,147,0.382,146,42,1,0,1,0,0,5/DH4,,waltodo01
397,Joey Wiemer,27,WSN,NL,0.6,32,83,70,16,20,5,1,3,12,1,0,12,29,0.286,0.398,0.514,0.912,155,0.392,150,36,2,1,0,0,0,98H/D1,,wiemejo01
398,Javier Báez,33,DET,AL,-0.4,24,82,78,10,20,5,0,2,6,1,1,2,16,0.256,0.28,0.397,0.678,85,0.293,80,31,2,1,0,1,0,68/4,,baezja01
399,Thomas Saggese,24,STL,NL,-0.7,32,82,76,9,14,2,1,1,4,1,2,6,26,0.184,0.244,0.276,0.52,48,0.224,41,21,2,0,0,0,0,7/6H54D,,saggeth01
400,Nicky Lopez,31,2TM,2LG,0.1,28,80,74,8,23,1,0,1,6,2,1,3,11,0.311,0.346,0.365,0.711,109,0.313,106,27,2,1,2,0,0,4/6H579,,lopezni01
401,Nicky Lopez,31,CHC,NL,-0.1,4,5,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-125,0,0,0,0,0,0,/5H4,,lopezni01
402,Nicky Lopez,31,TEX,AL,0.2,24,75,69,7,23,1,0,1,6,2,1,3,9,0.333,0.37,0.391,0.761,124,0.334,121,27,2,1,2,0,0,4/6H79,,lopezni01
403,Braden Shewmake,28,HOU,AL,0.4,28,79,74,8,18,3,0,3,8,0,0,2,13,0.243,0.26,0.405,0.665,82,0.287,74,30,1,0,2,1,0,56/4H,,shewmbr01
404,Jose Siri,30,LAA,AL,0.9,32,79,69,17,20,3,0,4,16,1,1,6,19,0.29,0.351,0.507,0.858,139,0.363,135,35,2,1,2,1,0,78/H9,,sirijo01
405,Jasson Dominguez,23,NYY,AL,0.4,20,78,74,7,17,6,0,3,8,4,0,2,17,0.23,0.26,0.432,0.692,89,0.324,92,32,0,1,0,0,0,9/D7,,dominja01
406,Rafael Marchán,27,PHI,NL,-0.4,26,78,75,4,8,0,0,2,6,0,0,1,14,0.107,0.141,0.187,0.328,-12,0.171,-14,14,2,2,0,0,0,2/H,,marchra01
407,Jake Rogers,31,DET,AL,-0.1,24,78,67,6,10,2,1,1,6,1,0,7,25,0.149,0.234,0.254,0.487,35,0.226,27,17,0,1,1,2,0,2/1H,,rogerja03
408,Everson Pereira,25,CHW,AL,-0.1,21,77,69,7,16,4,0,3,7,1,0,5,23,0.232,0.299,0.42,0.719,99,0.317,95,29,2,2,0,1,0,9/D8H7,,pereiev01
409,Sterlin Thompson,25,COL,NL,-0.3,27,77,69,7,16,4,0,2,10,0,0,5,21,0.232,0.312,0.377,0.688,82,0.305,77,26,3,3,0,0,0,7D/9H,,thompst01
410,Tim Tawa,27,ARI,NL,-0.6,33,76,64,6,11,3,0,1,8,0,2,9,18,0.172,0.27,0.266,0.536,50,0.245,52,17,1,0,2,1,0,7/H358D4,,tawati01
411,Austin Slater,33,3TM,2LG,0,28,74,65,6,15,3,0,0,3,4,0,8,21,0.231,0.311,0.277,0.588,67,0.29,69,18,1,0,0,1,0,9H/7D,,slateau01
412,Austin Slater,33,2TM,NL,-0.2,21,49,43,4,9,1,0,0,2,1,0,5,15,0.209,0.286,0.233,0.518,49,0.26,55,10,1,0,0,1,0,9H/7D,,slateau01
413,Austin Slater,33,MIA,NL,0,12,28,23,1,4,0,0,0,1,1,0,4,9,0.174,0.286,0.174,0.46,35,0.234,35,4,0,0,0,1,0,/9H,,slateau01
414,Austin Slater,33,NYM,NL,-0.1,9,21,20,3,5,1,0,0,1,0,0,1,6,0.25,0.286,0.3,0.586,65,0.294,81,6,1,0,0,0,0,/H7D9,,slateau01
415,Austin Slater,33,TBR,AL,0.1,7,25,22,2,6,2,0,0,1,3,0,3,6,0.273,0.36,0.364,0.724,102,0.348,96,8,0,0,0,0,0,/97H,,slateau01
416,Christopher Morel,27,MIA,NL,-0.5,22,73,68,3,11,3,0,0,1,1,0,4,28,0.162,0.219,0.206,0.425,22,0.2,14,14,0,1,0,0,0,3/DH,,morelch01
417,Colby Thomas,25,ATH,AL,-0.5,35,73,68,8,14,2,0,2,6,0,1,4,21,0.206,0.25,0.324,0.574,55,0.258,54,22,0,0,1,0,0,9H/7D8,,thomaco03
